Actor/Actress	Movie	Year
Kevin Bacon	X-Men: First Class	2011
James McAvoy	X-Men: First Class	2011
James McAvoy	X-Men: Apocalypse	2016
James McAvoy	Glass	2019
Michael Fassbender	X-Men: First Class	2011
Michael Fassbender	X-Men: Apocalypse	2016
Michael Fassbender	Alien: Covenant	2017
Samuel L. Jackson	Glass	2019
Samuel L. Jackson	Avengers: Endgame	2019
Robert Downey Jr.	Avengers: Endgame	2019
Robert Downey Jr.	Spider-Man: Homecoming	2017
Tom Holland	Spider-Man: Homecoming	2017
Tom Holland	The Current War	2017
Katherine Waterston	Alien: Covenant	2017
Katherine Waterston	The Current War	2017